Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C415,1.8p,C_0402_1005Metric,193.906027,-90.597173,0,top
C416,1n,C_0402_1005Metric,195.776027,-91.547173,180,top
C417,1n,C_0402_1005Metric,195.751027,-92.922173,180,top
C418,1n,C_0201_0603Metric,197.876027,-93.922173,90,top
C419,10n,C_0201_0603Metric,198.201027,-90.972173,0,top
C420,39p,C_0402_1005Metric,199.496027,-92.272173,180,top
C421,3.3p,C_0402_1005Metric,199.476027,-93.222173,0,top
C422,3.3p,C_0402_1005Metric,201.376027,-93.222173,0,top
C501,2.2u,C_0402_1005Metric,114.985,-100.205,0,top
C502,100n,C_0201_0603Metric,125.7,-94.85,0,top
C503,100n,C_0201_0603Metric,115.5693,-92.315,180,top
C504,100n,C_0201_0603Metric,121.394416,-90.779833,90,top
C505,100n,C_0201_0603Metric,113.365,-100.12,180,top
C506,100n,C_0201_0603Metric,114.489184,-96.065,180,top
C507,100n,C_0201_0603Metric,121.825,-100.4,0,top
C508,2.2u,C_0402_1005Metric,116.7443,-90.876905,90,top
C509,2.2u,C_0402_1005Metric,114.405,-91.99,90,top
C510,100n,C_0201_0603Metric,116.825,-100.4,180,top
C511,100n,C_0201_0603Metric,145.695,-83.4364,180,top
C512,100n,C_0201_0603Metric,115.5693,-90.915,180,top
C513,100n,C_0201_0603Metric,115.5693,-91.615,180,top
C514,100n,C_0201_0603Metric,114.489184,-94.665,180,top
C515,100n,C_0201_0603Metric,125.675,-95.55,0,top
C516,2.2u,C_0402_1005Metric,117.6693,-90.876905,90,top
C517,100n,C_0201_0603Metric,114.489184,-95.365,180,top
C518,30p,C_0201_0603Metric,129.875,-94.425,90,top
C519,30p,C_0201_0603Metric,128.475,-91.75,0,top
C601,100n,C_0201_0603Metric,131.725,-93.8,0,top
C602,100n,C_0201_0603Metric,143.175,-94.725,-90,top
C603,1u,C_0603_1608Metric,123.1,-114.55,-90,top
C604,1u,C_0402_1005Metric,122.3075,-110.4175,90,top
C605,1u,C_0402_1005Metric,123.2325,-109.875,90,top
C606,100n,C_0201_0603Metric,122.9075,-112.1175,-90,top
C607,100n,C_0201_0603Metric,122.2075,-112.1175,-90,top
C701,100n,C_0201_0603Metric,125.635,-88.955,-90,top
C702,100n,C_0201_0603Metric,125.635,-90.37,90,top
C801,1u,C_0402_1005Metric,113.845,-103.245,90,top
C802,1u,C_0402_1005Metric,111.91,-101.395,0,top
C803,1u,C_0402_1005Metric,114.305,-106.495,0,top
C804,2.2u,C_0402_1005Metric,114.565,-105.1,-90,top
C805,100n,C_0201_0603Metric,113.745,-104.885,-90,top
C806,100n,C_0201_0603Metric,141.115,-83.4236,0,top
